Method,Value
CalibratedClassifierCV with TfidfVectorizer,0.987440191
OneVsRestClassifier with TfidfVectorizer,0.986842105
SGDClassifier with TfidfVectorizer,0.986244019
PassiveAggressiveClassifier with TfidfVectorizer,0.985645933
CalibratedClassifierCV with CountVectorizer,0.985047847
SGDClassifier with CountVectorizer,0.984449761
CalibratedClassifierCV with HashingVectorizer,0.983851675
SGDClassifier with HashingVectorizer,0.983253589
OneVsRestClassifier with CountVectorizer,0.983253589
PassiveAggressiveClassifier with HashingVectorizer,0.982655502
OneVsRestClassifier with HashingVectorizer,0.982655502
PassiveAggressiveClassifier with CountVectorizer,0.982057416
RidgeClassifier with TfidfVectorizer,0.982057416
RidgeClassifierCV with TfidfVectorizer,0.98145933
OneVsRestClassifier with CountVectorizer,0.980861244
RidgeClassifierCV with HashingVectorizer,0.980263158
RidgeClassifier with HashingVectorizer,0.979066986
ExtraTreesClassifier with CountVectorizer,0.977870813
BernoulliNB with CountVectorizer,0.976076555
BernoulliNB with TfidfVectorizer,0.976076555
RidgeClassifier with CountVectorizer,0.976076555
RidgeClassifierCV with CountVectorizer,0.976076555
ExtraTreesClassifier with TfidfVectorizer,0.975478469
RandomForestClassifier with CountVectorizer,0.972488038
RandomForestClassifier with TfidfVectorizer,0.971291866
OneVsRestClassifier with TfidfVectorizer,0.971291866
BaggingClassifier with HashingVectorizer,0.968899522
KNeighborsClassifier with TfidfVectorizer,0.968899522
KNeighborsClassifier with HashingVectorizer,0.968899522
ExtraTreesClassifier with HashingVectorizer,0.967703349
GradientBoostingClassifier with CountVectorizer,0.967105263
GradientBoostingClassifier with HashingVectorizer,0.966507177
RandomForestClassifier with HashingVectorizer,0.964712919
BaggingClassifier with TfidfVectorizer,0.964114833
DecisionTreeClassifier with HashingVectorizer,0.964114833
DecisionTreeClassifier with TfidfVectorizer,0.96291866
OneVsRestClassifier with HashingVectorizer,0.96291866
GradientBoostingClassifier with TfidfVectorizer,0.962320574
BaggingClassifier with CountVectorizer,0.958732057
DecisionTreeClassifier with CountVectorizer,0.958732057
AdaBoostClassifier with HashingVectorizer,0.947368421
AdaBoostClassifier with TfidfVectorizer,0.941985646
AdaBoostClassifier with CountVectorizer,0.919856459
KNeighborsClassifier with CountVectorizer,0.911483254
BernoulliNB with HashingVectorizer,0.863636364
DummyClassifier with CountVectorizer,0.863636364
DummyClassifier with TfidfVectorizer,0.863636364
DummyClassifier with HashingVectorizer,0.863636364